paymentPrompt2,我们需要几分钟来处理您的还贷申请，请耐心等待。如果收不到验证码，请重新发送验证码。谢谢您的配合。,我们需要几分钟来处理您的还贷申请，请耐心等待。如果收不到验证码，请重新发送验证码。谢谢您的配合。,Tardaremos unos minutos en evaluar su aplicación. Por favor espere, si no recibe un código de verificación por favor envíelo nuevamente. Gracias por su cooperación
permission-blocked,permission blocked,permission blocked,Permiso bloqueado
permission-unavailable,permission unavailable,permission unavailable,Permiso no disponible
promptRepayHint,Maintaining a good repayment behavior will help you to increase your loan amount. 96% of users loan amount haveincreased subsequently.,Maintaining a good repayment behavior will help you to increase your loan amount. 96% of users loan amount haveincreased subsequently.,Mantener un buen comportamiento de pago lo ayudará a aumentar el monto de su préstamo. El 96% del monto del préstamo de los usuarios aumentó posteriormente.
providehandleIDcardPrompt,Must provide above mentioned images, otherwise application will be rejected.,Must provide above mentioned images, otherwise application will be rejected.,Debe proporcionar las imágenes mencionadas anteriormente; de ??lo contrario se rechazará la solicitud.
refreshSuccess,刷新成功,刷新成功,Actualización con éxito
repayAmountHint,Tasa de Tramitacion,Tasa de Tramitacion,Tasa de Tramitacion
repayment-amount,Repayment amount,Repayment amount,Repayment amount
repaymentDate,Repayment Date,Raypayment Date,Repayment Date
resetpwd.label,Reset Password,重置密码,Restablecer contrase?a
resetpwd.success,reset pwd success,reset pwd success,Restablecido con éxito
restRepayAmount,剩余应付金额,剩余应付金额,Importe restante a pagar
serviceFee,Service Fee,Service Fee,Service Fee
signinPrompt,Don't have an account?,没有账号吗?,Tiene una cuenta?
stage,Stage,Stage,Stage
status,Status,Status,Status
take-photo-hint-1,El frente de tu ID,El frente de tu ID,El frente de tu ID
take-photo-hint-2,La parte trasera de tu ID,La parte trasera de tu ID,La parte trasera de tu ID
take-photo-title,Proporciona tu INE/IFE por favor,Proporciona tu INE/IFE por favor,Proporciona tu INE/IFE por favor
termsofService,Terms of Service,Terms of Service,Términos de servicio
toBottom,到达底部了,我是有底线的,Ha llegado al final
tostep7,Click here to modify bank card,返回修改银行卡号,haga clic aquí para modificar la tarjeta bancaria
upload-Failed,upload failed,upload failed,Carga fallida
warnRepayPrompt,我们建议您在此页面立即偿还贷款，以 免影响您的下次贷款申请。,我们建议您在此页面立即偿还贷款，以 免影响您的下次贷款申请。,le recomendamos que pague el préstamo inmediatamente en esta página para no afectar su próxima solicitud de préstamo.
